member_id,name,age,club,gender,weight_class,entry_total,session_number,session_platform,meet
79,Dj Williams,16,"Bull Strength Barbell TXOK, TXOK",Male,79kg,180,,,"2025 Virus Weightlifting Series 2, Powered by Rogue Fitness"
16,Max Ferrara,16,"Austin Barbell Open, TXOK, TXOK",Male,424kg,185,,,"2025 Virus Weightlifting Series 2, Powered by Rogue Fitness"
17,Camdynn Burns,17,"Team Florida Pensacola Open,",Male,656kg,180,,,"2025 Virus Weightlifting Series 2, Powered by Rogue Fitness"
35,Michael Hazlett,35,"Iron Wolf Weightlifting M35, Open",Male,409kg,180,,,"2025 Virus Weightlifting Series 2, Powered by Rogue Fitness"
39,Jason Miotke,39,"Waco Barbell M35, MIL, MILMM, Open, TXOK M35, TXOK",Male,418kg,180,,,"2025 Virus Weightlifting Series 2, Powered by Rogue Fitness"
31,Devin Lin,31,Barbender Academy Open,Male,313kg,200,,,"2025 Virus Weightlifting Series 2, Powered by Rogue Fitness"
79,Gabriel Torres,25,"Stonehenge Weightlifting Open, TXOK",Male,79kg,200,,,"2025 Virus Weightlifting Series 2, Powered by Rogue Fitness"
21,Evan Vassilakis,21,Unaffiliated,Male,592kg,200,,,"2025 Virus Weightlifting Series 2, Powered by Rogue Fitness"
24,Linden Pak,24,Marin Heavy Athletics Open,Male,213kg,196,,,"2025 Virus Weightlifting Series 2, Powered by Rogue Fitness"
79,Noah Juarez,25,Waco Barbell TXOK,Male,79kg,180,,,"2025 Virus Weightlifting Series 2, Powered by Rogue Fitness"
18,Eleanor Otis,18,"Waco Barbell JR, TXOK JR, TXOK, Open",Male,247kg,130,,,"2025 Virus Weightlifting Series 2, Powered by Rogue Fitness"
20,Devin Craig-Schwartz,20,"Lupo Barbell Club JR, Open",Male,396kg,124,,,"2025 Virus Weightlifting Series 2, Powered by Rogue Fitness"
63,Rene Bermudez,41,"Cully Strength W40, Open",Female,40kg,125,,,"2025 Virus Weightlifting Series 2, Powered by Rogue Fitness"
48,Crysta Parkin,48,Unaffiliated,Male,459kg,133,,,"2025 Virus Weightlifting Series 2, Powered by Rogue Fitness"
45,Emily Demars,45,Unaffiliated,Male,417kg,123,,,"2025 Virus Weightlifting Series 2, Powered by Rogue Fitness"
23,Katelyn Fecteau,23,Unaffiliated,Male,256kg,130,,,"2025 Virus Weightlifting Series 2, Powered by Rogue Fitness"
32,Anuradha Anantharaman,32,"TEXAS BARBELL CLUB TXOK, Open",Male,436kg,130,,,"2025 Virus Weightlifting Series 2, Powered by Rogue Fitness"
28,Mackinzi Blank,28,Unaffiliated,Male,551kg,128,,,"2025 Virus Weightlifting Series 2, Powered by Rogue Fitness"
33,Jessica Sotto,69,Polaris Weightlifting Open,Male,69kg,126,,,"2025 Virus Weightlifting Series 2, Powered by Rogue Fitness"
23,Michaela Orlando,23,West Chester Weightlifting Open,Male,497kg,123,,,"2025 Virus Weightlifting Series 2, Powered by Rogue Fitness"
88,Archer Swisher,18,"Pure Health Barbell TXOK JR, TXOK",Male,88kg,200,,,"2025 Virus Weightlifting Series 2, Powered by Rogue Fitness"
88,Michele Canzi,35,"Lupo Barbell Club M35, Open",Male,35kg,190,,,"2025 Virus Weightlifting Series 2, Powered by Rogue Fitness"
88,Wai Yu,41,"Mach10 Weightlifting Club M40, MIL, MILMM, Open",Male,40kg,195,,,"2025 Virus Weightlifting Series 2, Powered by Rogue Fitness"
88,Michael Ben-Hain,49,"Bexar Barbell M45, Open",Male,45kg,182,,,"2025 Virus Weightlifting Series 2, Powered by Rogue Fitness"
27,Henry Cao,27,Standard Strength Open,Male,667kg,210,,,"2025 Virus Weightlifting Series 2, Powered by Rogue Fitness"
30,Sean Mcclanahan,30,"BlueWave Weightlifting Open, TXOK",Male,283kg,207,,,"2025 Virus Weightlifting Series 2, Powered by Rogue Fitness"
31,Richard Bohnert,31,Mach 1 Barbell Open,Male,651kg,205,,,"2025 Virus Weightlifting Series 2, Powered by Rogue Fitness"
33,Paris Waranimman,33,MURDER OF CROWS Open,Male,350kg,205,,,"2025 Virus Weightlifting Series 2, Powered by Rogue Fitness"
34,Daniel Bailey,34,Protopig Strength Open,Male,354kg,195,,,"2025 Virus Weightlifting Series 2, Powered by Rogue Fitness"
21,Harrison Olan,21,"Texas A&M Aggie Weightlifting Open, TXOK",Male,388kg,195,,,"2025 Virus Weightlifting Series 2, Powered by Rogue Fitness"
33,Albert Huang,33,"Austin Barbell MIL, Open, TXOK",Male,423kg,195,,,"2025 Virus Weightlifting Series 2, Powered by Rogue Fitness"
88,Edgar Villarreal,30,BlueWave Weightlifting TXOK,Male,88kg,205,,,"2025 Virus Weightlifting Series 2, Powered by Rogue Fitness"
79,Manuel Ferrer,39,"Austin Barbell M35, MIL, MILMM, Open, TXOK M35, TXOK",Male,35kg,210,,,"2025 Virus Weightlifting Series 2, Powered by Rogue Fitness"
40,John Erwin,40,"COASTAL EMPIRE WEIGHTLIFTING M40, Open",Male,604kg,216,,,"2025 Virus Weightlifting Series 2, Powered by Rogue Fitness"
40,Kenton Chung,40,"Leo's Den M40, Open",Male,682kg,215,,,"2025 Virus Weightlifting Series 2, Powered by Rogue Fitness"
21,Jayden Son,21,Unaffiliated,Male,150kg,215,,,"2025 Virus Weightlifting Series 2, Powered by Rogue Fitness"
28,Stanton Troupe,28,Sanctuary Barbell Open,Male,266kg,213,,,"2025 Virus Weightlifting Series 2, Powered by Rogue Fitness"
31,Bryan Ruezga,38,"Kaizen Barbell Open, TXOK",Male,38kg,212,,,"2025 Virus Weightlifting Series 2, Powered by Rogue Fitness"
34,Vincent Yocco,34,"Fifty-One Fifty Weightlifting Club MIL, Open",Male,250kg,210,,,"2025 Virus Weightlifting Series 2, Powered by Rogue Fitness"
34,Corey Harrison,34,"LAS VEGAS BARBELL MIL, Open",Male,478kg,210,,,"2025 Virus Weightlifting Series 2, Powered by Rogue Fitness"
29,Eligio Vargas,29,"Austin Barbell Open, TXOK",Male,516kg,210,,,"2025 Virus Weightlifting Series 2, Powered by Rogue Fitness"
27,Benjamin Busarow,18,HIGH DESERT ATHLETIC CLUB Open,Male,18kg,210,,,"2025 Virus Weightlifting Series 2, Powered by Rogue Fitness"
69,Aubrey Mclaughlin,15,Bull Strength Barbell TXOK,Male,69kg,70,,,"2025 Virus Weightlifting Series 2, Powered by Rogue Fitness"
69,Emily Parcells,18,"TEAM FLORIDA GULFCOAST WL JR, Open",Male,69kg,100,,,"2025 Virus Weightlifting Series 2, Powered by Rogue Fitness"
69,Julie Hoover,43,"Cully Strength W40, Open",Female,40kg,81,,,"2025 Virus Weightlifting Series 2, Powered by Rogue Fitness"
46,Zionna Hanson,46,"Annex Weightlifting W45, Open",Male,370kg,105,,,"2025 Virus Weightlifting Series 2, Powered by Rogue Fitness"
69,Rebecca Lim,45,"Wolfe Strength TXOK W45, TXOK, W45, Open",Female,45kg,100,,,"2025 Virus Weightlifting Series 2, Powered by Rogue Fitness"
